animal_id,created,note,session_id,is_deleted,is_alert
1899,635605519939320000,"New EID: 964001009986668",10,0,0
1899,635605520070450000,"Previous Tag: 011008",10,0,0
1899,635605520073100000,"New Tag: 11008",10,0,0
1946,635605520312140000,"New EID: 964001009986673",10,0,0
1946,635605520425380000,"Previous Tag: 009023",10,0,0
1946,635605520426880000,"New Tag: 9023",10,0,0
1933,635605520736410000,"New EID: 964001009986667",10,0,0
1933,635605520830240000,"Previous Tag: 012047",10,0,0
1933,635605520832880000,"New Tag: 12047",10,0,0
1907,635605521343940000,"New EID: 964001009986675",10,0,0
1907,635605521441570000,"Previous Tag: 012111",10,0,0
1907,635605521443070000,"New Tag: 12111",10,0,0
1971,635605522046200000,"New EID: 964001009986665",10,0,0
1971,635605522172830000,"Previous Tag: 012001",10,0,0
1971,635605522174390000,"New Tag: 12001",10,0,0
1940,635605522514030000,"New EID: 964001009986671",10,0,0
1940,635605522591800000,"Previous Tag: 012019",10,0,0
1940,635605522593350000,"New Tag: 12019",10,0,0
1882,635605522838320000,"New EID: 964001009986663",10,0,0
1882,635605522961890000,"Previous Tag: 012040",10,0,0
1882,635605522963430000,"New Tag: 12040",10,0,0
2534,635605523135560000,"New EID: 964001009986664",10,0,0
2534,635605523209060000,"Previous Tag: 012112",10,0,0
2534,635605523210560000,"New Tag: 12112",10,0,0
2712,635605525519670000,"New Tag: 11003",10,0,0
1957,635605527214440000,"New EID: 964001009986661",10,0,0
1957,635605527332460000,"Previous Tag: 012010",10,0,0
1957,635605527333970000,"New Tag: 12010",10,0,0
1957,635605527651230000,"Previous EID: 964001009986661",10,0,0
1957,635605527652640000,"New EID: 964001009986618",10,0,0
2493,635605528083380000,"New EID: 964001009986656",10,0,0
2493,635605528168700000,"Previous Tag: 009014",10,0,0
2493,635605528170200000,"New Tag: 9014",10,0,0
1945,635605528603610000,"New EID: 964001009986661",10,0,0
1945,635605528761140000,"Previous Tag: 012092",10,0,0
1945,635605528762660000,"New Tag: 12092",10,0,0
2713,635605529922120000,"New EID: 964001009986660",10,0,0
2532,635605530622880000,"New EID: 964001009986659",10,0,0
2532,635605530768610000,"Previous Tag: 012107",10,0,0
2532,635605530771220000,"New Tag: 12107",10,0,0
2524,635605531179420000,"New EID: 964001009986658",10,0,0
2524,635605531817980000,"Previous Tag: 012095",10,0,0
2524,635605531819470000,"New Tag: 12095",10,0,0
1905,635605532324190000,"New EID: 964001009986657",10,0,0
1905,635605532464450000,"Previous Tag: 012079",10,0,0
1905,635605532468420000,"New Tag: 12079",10,0,0
2714,635605539763050000,"New Tag: 12053",10,0,0
2512,635605540271490000,"New EID: 964001009986726",10,0,0
2512,635605540393320000,"Previous Tag: 012075",10,0,0
2512,635605540394820000,"New Tag: 12075",10,0,0
2502,635605540649420000,"New EID: 964001009986731",10,0,0
2502,635605540747550000,"Previous Tag: 012063",10,0,0
2502,635605540749030000,"New Tag: 12063",10,0,0
2502,635605540918340000,Lila,10,0,0
1902,635605541127680000,"New EID: 964001009986728",10,0,0
1902,635605541217960000,"Previous Tag: 012091",10,0,0
1902,635605541219740000,"New Tag: 12091",10,0,0
1924,635605541427820000,"New EID: 964001009986729",10,0,0
1924,635605541549350000,"Previous Tag: 009016",10,0,0
1924,635605541552160000,"New Tag: 9016",10,0,0
1959,635605541750060000,"New EID: 964001009986730",10,0,0
1959,635605541932940000,"Previous Tag: 010001",10,0,0
1959,635605541934600000,"New Tag: 10001",10,0,0
1897,635605542729710000,"New EID: 964001009986727",10,0,0
2514,635605543552650000,"New EID: 964001009986735",10,0,0
2514,635605543630470000,"Previous Tag: 012077",10,0,0
2514,635605543634310000,"New Tag: 12077",10,0,0
2073,635605543959570000,"New EID: 964001009986734",10,0,0
2073,635605544065520000,"Previous Tag: 011042",10,0,0
2073,635605544067090000,"New Tag: 11042",10,0,0
2073,635605544217520000,"Penny rose",10,0,0
2497,635605544369720000,"New EID: 964001009986733",10,0,0
2497,635605544466030000,"Previous Tag: 012057",10,0,0
